25	0.00209192
30	0.00134888
35	0.00091475
40	0.00064197
45	0.00046112
50	0.00033615
55	0.00024694
60	0.00018156
65	0.00013260
70	0.00009528
75	0.00006640
80	0.00004377
85	0.00002585
90	0.00001153
95	0.00000000
100	0.00000934
105	0.00001694
110	0.00002315
115	0.00002824
120	0.00003242
125	0.00003585
130	0.00003867
135	0.00004098
140	0.00004287
145	0.00004441
150	0.00004565
155	0.00004664
160	0.00004741
165	0.00004801
170	0.00004846
175	0.00004878
180	0.00004899
185	0.00004911
190	0.00004914
195	0.00004911
200	0.00004902
205	0.00004888
210	0.00004870
215	0.00004848
220	0.00004823
225	0.00004795
230	0.00004765
235	0.00004734
240	0.00004701
245	0.00004666
250	0.00004631
